id_entreprise,name,sector,city,country,website,email,revenue,enrollment,average,salary,description,message
abmi,ABMI,Audit & Conseil,Lyon,France,http://www.abmi-groupe.com,secretariat-lyon@abmi-groupe.com,50 M€,700,35,31 000 - 33 500€,"Le Groupe ABMI se situe parmi les entreprises leaders en ingénierie et services en apportant une solution globale à la fois économique, technique et humaine aux problématiques de développement de l'industrie. 
Depuis 1984, son expertise et ses compétences sont reconnues des grands groupes industriels dans de multiples secteurs tels que les transports, l'industrie pharmaceutique, l'énergie et le nucléaire, l'environnement et le traitement de l'eau ou les biens d'équipement et de consommation...
",
abylsen,Abylsen,Audit & Conseil,Lyon,France,http://www.abylsen.com/fr,eugenie.dehau@abylsen.com,75 M€,920,28,28 000€,"ABYLSEN (11 sociétés, 920 personnes en France et en Europe, 75 M€ de CA), est une société de Conseil en Ingénierie et Nouvelles Technologies. 
Elle a été créée par plusieurs entrepreneurs et née d'une ambition commune de développement à la maille des grandes Régions européennes. 
Depuis 2005, le Groupe concourt à l'innovation et à la performance des Entreprises en apportant l'expertise en ingénierie de technologies dont elles ont besoin dans leurs projets de transformation.

",
accenture,Accenture,Audit & Conseil,Paris,France,http://recrute.accenture.fr,campus.france@accenture.com,"32,9 Md€",380000,32,,"Référence mondiale du conseil et des technologies, Accenture accompagne les plus grands groupes internationaux dans leur transformation, de la stratégie à la mise en œuvre. A l’heure des révolutions liées au digital (e-commerce, cloud computing, data analytics, mobilité…), nous combinons nos expertises en stratégie, conseil, digital, technologie et gestion déléguée d’opérations pour aider nos clients à renforcer leur performance et créer de la valeur sur le long terme. ","En débutant votre carrière chez Accenture, vous aurez l'opportunité de donner le meilleur de vous-même au cœur des plus prestigieux projets de transformation digitale de nos clients, et de développer votre potentiel sur des sujets innovants.
Rencontrez les anciens de votre école pour échanger autour de leur métier et de leur cadre de travail ou pour obtenir des conseils en vue de vos entretiens. Rendez-vous lors du forum sur notre stand et retrouvez-nous sur les réseaux sociaux !
"
akka,Akka technologies,Audit & Conseil,Paris,France,http://www.akka-technologies.com,anne.chamarande@akka.eu,1 Md€,12500,33,32 000€ - 40 000€,"AKKA Technologies, spécialiste du Conseil et Ingénierie en Hautes Technologies, plus de 12500 consultants, participe aux grands projets industriels. Nous accompagnons nos clients dans leurs processus d'innovation et d'amélioration de la productivité. Notre capacité d'anticipation nous permet aujourd'hui de répondre de manière concrète aux nouveaux enjeux du marché - intervention sur des projets globaux dans un contexte de mondialisation. 
",
alten,Alten,Conseil & Ingénierie,Paris,France,http://www.altenrecrute.fr,,"1,54 Md€",22900,31,,"ALTEN, leader mondial de l’Ingénierie et du Conseil en Technologies, accompagne la stratégie de développement de ses clients dans les domaines de l’innovation, de la R&D et des systèmes d’information technologiques.

L’activité d’ALTEN s’articule autour de trois métiers :
-	L’ingénierie et le Conseil en Technologies
-	Les Réseaux Télécoms et Multimédia
-	Les Systèmes d’Information Technologiques",
altersol,Alter solutions engineering,Conseil & Ingénierie,Versailles,France,http://www.alter-solutions.com,contact@alter-solutions.com,20 M€,300,,,"ALTER SOLUTIONS ENGINEERING, créée en 2006, est une société de conseil en hautes technologies qui a pour vocation d’accompagner ses clients (Energies, Automobile, Ferroviaire, Aéronautique/Défense/Spatial, IT) dans la réalisation de leur projets techniques en proposant des modes d’intervention sur-mesure et des outils innovants.

En 2016, Alter Solutions Engineering c’est notamment :
¤ 300 collaborateurs
¤ 20 M € de CA et 20% de croissance
¤ Des bureaux en France, Belgique, Portugal et Suisse",
altran,Altran,Audit & Conseil,Versailles,France ,http://WWW.ALTRAN.COM,,1945 M€,28000,,,"Leader mondial du conseil et services R&D, Altran (28 000 collaborateurs dans le monde, 10 000 en France), propose à ses clients depuis 30 ans d’innover autrement en les aidant à développer ou à développer pour eux les produits et les services de demain : IoT, BI Big Data, Autonomous Driving, Ingénierie système, développement software, cybersécurité, architecture d'entreprise, e-santé...",
amaris,Amaris,"Informatique, Télécommunication, Électronique",Lyon,France,http://www.amaris.com/,,140 M€,2600,27,,"
Amaris est un cabinet indépendant et international de Conseil en Management et Technologies créé en 2007 à l’esprit de start-up. Présent dans plus de 45 pays, le groupe accompagne ses clients tout au long du cycle de réalisation de leurs projets. Amaris agit sur l’organisation, les systèmes d’information et technologies de ses entreprises partenaires afin de leur permettre d’atteindre leurs objectifs et d’améliorer leurs performances.

",
amiltone,Amiltone,"Informatique, Édition de logiciels, Services de l'information",Lyon,France,http://www.amiltone.com,contact@amiltone.com,8 M€,150,28,,"Amiltone est une société de conseil et d'ingénierie spécialisée dans les nouvelles technologies. Nous accompagnons les grands groupes industriels et tertiaires dans leurs changements fonctionnels et techniques.
Notre environnement de travail, permet l’amélioration continue, encourage et permet à chacun d’exprimer son potentiel. 
Notre expertise : les nouvelles technologies, la mobilité et la Business Intelligence.",
anrt,Anrt/cifre,Industrie,,France ,http://www.anrt.asso.fr,cifre@anrt.asso.fr,,30,,,"Depuis plus de 30 ans, le dispositif CIFRE - Conventions Industrielles de Formation par la REcherche - subventionne toute entreprise de droit français qui embauche un doctorant pour le placer au cœur d'une collaboration de recherche avec un laboratoire public. Les travaux aboutiront à la soutenance d'une thèse en trois ans.
Les CIFRE sont intégralement financées par le ministère de l'Enseignement supérieur et de la Recherche qui en a confié la mise en œuvre à l'ANRT.",
